date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:11	144502/144502	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202018%2001:25:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img1.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img1.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:14	730766/730766	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Mar%202018%2019:52:30%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/slider/slider-bg1.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/slider/slider-bg1.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:30	158410/158410	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202018%2001:25:00%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img2.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img2.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:33	10953/10953	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202018%2021:08:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/author/tst-thumb1.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/author/tst-thumb1.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:33	298634/298634	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Mar%202018%2022:18:30%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/gallery/glry-img6.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/gallery/glry-img6.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:35	150443/150443	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202018%2001:25:46%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img3.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img3.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:38	148296/148296	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202018%2001:26:08%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img4.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/doctors/doctor-img4.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:40	12316/12316	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:57:28%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img1.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img1.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:42	9046/9046	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:57:40%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img2.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img2.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
13:25:44	9788/9788	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Mar%202018%2020:57:52%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img3.jpg	D:/projetos/maricamed/src/main/resources/theme/maricamed-theme/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/instagram/img3.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
